ArRId;ArRVersion;ArRCreated;ArRChanged;ArRName;ArRType;ArRPublicCode;ArRXEpsg2154;ArRYEpsg2154;ZdAId;ArRGeopoint;ArRTown;ArRPostalRegion;ArRAccessibility;ArRAudibleSignals;ArRVisualSigns;ArRFareZone
22235;1347843-1347842;2014-12-28T19:00:00-05:00;2021-10-26T13:56:01-04:00;Malakoff - Plateau de Vanves;metro;-;648480;6858245;413433;48.82220756709206, 2.2982953817024967;Malakoff;92046;false;true;true;2
463225;1347840-44066;2019-01-28T19:00:00-05:00;2021-10-26T13:55:09-04:00;Maisons-Alfort - Stade;metro;-;658500;6856693;44066;48.80897743321869, 2.4349244243659838;Maisons-Alfort;94046;false;true;true;2
22216;1347828-1347830;2014-12-28T19:00:00-05:00;2021-10-26T13:52:42-04:00;Maisons-Alfort - Les Juilliottes;metro;-;659294;6856035;44067;48.80310584941806, 2.4457883063759587;Maisons-Alfort;94046;false;true;true;2
22183;1347787-1347784;2014-12-28T19:00:00-05:00;2021-10-26T13:35:29-04:00;La Motte-Picquet - Grenelle;metro;-;648540;6861280;43566;48.84950618079834, 2.298745444388578;Paris 15e;75115;false;true;true;1
22162;1347786-1347784;2014-12-28T19:00:00-05:00;2021-10-26T13:35:20-04:00;La Motte-Picquet - Grenelle;metro;-;648551;6861190;43566;48.84869769687373, 2.298906224573168;Paris 15e;75115;false;true;true;1
462958;1347744-1095305;2019-01-27T19:00:00-05:00;2021-10-26T13:20:17-04:00;Javel - André Citroën;metro;-;647017;6860913;462371;48.84608687698317, 2.2780435059854063;Paris 15e;75115;false;true;true;1
22228;1347739-43333;2014-12-28T19:00:00-05:00;2021-10-26T12:57:26-04:00;Guy Môquet;metro;-;650690;6866098;43333;48.89300144101368, 2.3274832586261254;Paris 18e;75118;false;true;true;1
463001;1347734-43138;2019-01-27T19:00:00-05:00;2021-10-26T12:53:53-04:00;Gare de l'Est;metro;-;652921;6864219;43138;48.87627121359359, 2.3581205252730686;Paris 10e;75110;false;true;true;1
463172;1347714-1347715;2019-01-28T19:00:00-05:00;2021-10-26T12:41:37-04:00;Faidherbe - Chaligny;metro;-;654798;6861295;42980;48.85011054318548, 2.3840285663831065;Paris 12e;75112;false;true;true;1
463153;1347692-1035236;2019-01-28T19:00:00-05:00;2021-10-26T12:32:36-04:00;Corentin Celton;metro;-;647065;6858771;42759;48.826823294210755, 2.2789586605256353;Issy-les-Moulineaux;92040;false;true;true;2
463152;1347683-1035183;2019-01-28T19:00:00-05:00;2021-10-26T12:29:13-04:00;Corentin Cariou;metro;-;654710;6866251;45598;48.89467265910835, 2.3822915571646326;Paris 19e;75119;false;true;true;1
463144;1347676-1034979;2019-01-28T19:00:00-05:00;2021-10-26T12:22:48-04:00;Chaussée d'Antin - La Fayette;metro;-;651146;6863848;42589;48.872807236205865, 2.333970457594147;Paris 9e;75109;false;true;true;1
22140;1346945-1346947;2014-12-28T19:00:00-05:00;2021-10-25T08:55:42-04:00;Porte d'Orléans;metro;-;650478;6858362;44508;48.82341635019183, 2.3254932653821037;Paris 14e;75114;false;true;true;1
463042;1338658-1147074;2019-01-27T19:00:00-05:00;2021-10-15T07:50:36-04:00;Charles de Gaulle - Etoile;metro;-;648271;6863974;477682;48.87371127037561, 2.294752049367342;Paris 16e;75116;false;true;true;1
22095;1338641-1147074;2014-12-28T19:00:00-05:00;2021-10-15T07:47:13-04:00;Charles de Gaulle - Etoile;metro;-;648289;6863988;477682;48.87383861383767, 2.29499573544183;Paris 17e;75117;false;true;true;1
462967;1338497-1338491;2019-01-27T19:00:00-05:00;2021-10-15T07:16:13-04:00;Sèvres - Babylone;metro;-;650552;6861442;44828;48.85112511697643, 2.3261490660967246;Paris 7e;75107;false;true;true;1
21980;1338495-1338491;2014-12-28T19:00:00-05:00;2021-10-15T07:15:55-04:00;Sèvres - Babylone;metro;-;650605;6861491;44828;48.851565305443174, 2.3268596631217364;Paris 7e;75107;false;true;true;1
21976;1338489-1338491;2014-12-28T19:00:00-05:00;2021-10-15T07:15:28-04:00;Sèvres - Babylone;metro;-;650549;6861421;44828;48.85093150503983, 2.326104689925572;Paris 6e;75106;false;true;true;1
